Outlet_ID,POI_ID,POI_Type,Distance_Meters,Base_Footfall,Decay_Weight,Footfall_Impact_Score
OUT_00017,POI_010879,hotel,234.46,100,0.7368,73.68
OUT_00017,POI_018735,industrial,719.65,1000,0.0563,56.29
OUT_00017,POI_024445,clinic,541.1,200,0.1966,39.32
OUT_00017,POI_024446,clinic,503.54,200,0.2445,48.9
OUT_00017,POI_024447,clinic,696.31,200,0.0676,13.53
OUT_00017,POI_024448,clinic,754.37,200,0.0424,8.47
OUT_00017,POI_024449,clinic,428.81,200,0.36,72.01
OUT_00017,POI_024450,clinic,558.1,200,0.1772,35.44
OUT_00017,POI_024451,clinic,774.88,200,0.0356,7.12
OUT_00017,POI_025096,place_of_worship,392.9,300,0.4242,127.25
OUT_00017,POI_025153,place_of_worship,824.48,300,0.0229,6.87
OUT_00017,POI_025154,place_of_worship,804.82,300,0.0274,8.21
OUT_00017,POI_025713,school,962.7,1000,0.0058,5.81
OUT_00018,POI_000644,place_of_worship,705.99,300,0.0627,18.82
OUT_00018,POI_018335,place_of_worship,146.27,300,0.8879,266.38
OUT_00018,POI_018497,place_of_worship,169.6,300,0.8523,255.69
OUT_00020,POI_002980,hotel,653.17,100,0.0935,9.35
OUT_00020,POI_013635,hospital,928.83,5000,0.0083,41.44
OUT_00020,POI_025676,industrial,821.45,1000,0.0235,23.55
OUT_00021,POI_003767,place_of_worship,578.21,300,0.1561,46.82
OUT_00021,POI_003821,place_of_worship,126.1,300,0.9155,274.64
OUT_00021,POI_008513,place_of_worship,762.76,300,0.0395,11.84
OUT_00022,POI_025092,apartments,639.26,500,0.1033,51.64
OUT_00022,POI_025093,apartments,830.29,500,0.0217,10.86
OUT_00022,POI_025094,apartments,842.84,500,0.0193,9.66
OUT_00022,POI_025188,industrial,214.98,1000,0.7736,773.55
OUT_00023,POI_001396,school,735.47,1000,0.0495,49.53
OUT_00023,POI_001397,place_of_worship,929.43,300,0.0082,2.47
OUT_00023,POI_010712,place_of_worship,872.25,300,0.0146,4.38
OUT_00023,POI_011739,place_of_worship,836.52,300,0.0205,6.15
OUT_00023,POI_011773,place_of_worship,255.38,300,0.6961,208.82
OUT_00026,POI_000139,school,484.55,1000,0.2713,271.34
OUT_00026,POI_000237,school,496.36,1000,0.2544,254.42
OUT_00026,POI_000260,place_of_worship,716.4,300,0.0578,17.33
OUT_00026,POI_000393,bus_stop,890.01,150,0.0123,1.84
OUT_00026,POI_000400,bus_stop,838.86,150,0.0201,3.01
OUT_00026,POI_000403,bus_stop,439.59,150,0.3418,51.27
OUT_00026,POI_000404,bus_stop,225.98,150,0.753,112.95
OUT_00026,POI_000405,bus_stop,417.6,150,0.3795,56.93
OUT_00026,POI_000689,bus_stop,989.14,150,0.0044,0.65
OUT_00026,POI_000862,school,600.67,1000,0.1347,134.73
OUT_00026,POI_000876,bus_stop,813.49,150,0.0253,3.8
OUT_00026,POI_000877,school,917.67,1000,0.0093,9.29
OUT_00026,POI_000899,place_of_worship,909.38,300,0.0101,3.03
OUT_00026,POI_000900,place_of_worship,920.11,300,0.0091,2.72
OUT_00026,POI_000901,place_of_worship,818.75,300,0.0241,7.24
OUT_00026,POI_001261,school,894.71,1000,0.0117,11.71
OUT_00026,POI_001262,school,799.38,1000,0.0287,28.72
OUT_00026,POI_001263,school,858.91,1000,0.0166,16.6
OUT_00026,POI_001504,hospital,855.38,5000,0.0172,85.83
OUT_00026,POI_001657,bus_stop,796.59,150,0.0294,4.42
OUT_00026,POI_002123,place_of_worship,905.28,300,0.0105,3.16
OUT_00026,POI_002150,place_of_worship,963.06,300,0.0058,1.74
OUT_00026,POI_002228,place_of_worship,648.92,300,0.0964,28.92
OUT_00026,POI_002229,bus_stop,862.44,150,0.016,2.41
OUT_00026,POI_003490,place_of_worship,228.83,300,0.7476,224.28
OUT_00026,POI_004923,school,618.62,1000,0.1193,119.31
OUT_00026,POI_004924,school,882.94,1000,0.0132,13.15
OUT_00026,POI_004978,school,833.63,1000,0.0211,21.05
OUT_00026,POI_004983,school,834.7,1000,0.0208,20.84
OUT_00026,POI_005382,bus_station,402.8,10000,0.406,4060.05
OUT_00026,POI_005383,bus_stop,252.76,150,0.7012,105.18
OUT_00026,POI_005631,place_of_worship,738.02,300,0.0485,14.55
OUT_00026,POI_007738,guest_house,842.58,50,0.0194,0.97
OUT_00026,POI_010708,bus_stop,890.21,150,0.0122,1.84
OUT_00026,POI_010768,bus_stop,950.72,150,0.0066,0.99
OUT_00026,POI_010933,school,87.25,1000,0.9586,958.59
OUT_00026,POI_010934,school,85.77,1000,0.96,959.96
OUT_00026,POI_010935,bus_station,218.77,10000,0.7665,7665.24
OUT_00026,POI_010945,bus_station,971.75,10000,0.0053,52.68
OUT_00026,POI_010946,place_of_worship,299.14,300,0.6083,182.48
OUT_00026,POI_010947,place_of_worship,501.48,300,0.2473,74.19
OUT_00026,POI_010948,place_of_worship,717.79,300,0.0571,17.14
OUT_00026,POI_010949,bus_stop,849.87,150,0.0181,2.71
OUT_00026,POI_010950,bus_stop,388.73,150,0.4319,64.79
OUT_00026,POI_011087,place_of_worship,674.68,300,0.0798,23.93
OUT_00026,POI_011145,school,831.42,1000,0.0215,21.49
OUT_00026,POI_012517,place_of_worship,703.13,300,0.0641,19.24
OUT_00026,POI_014873,place_of_worship,911.84,300,0.0099,2.96
OUT_00026,POI_016086,hospital,600.19,5000,0.1352,675.83
OUT_00026,POI_020163,school,485.93,1000,0.2693,269.33
OUT_00026,POI_020164,place_of_worship,485.94,300,0.2693,80.79
OUT_00026,POI_020540,hospital,795.28,5000,0.0298,148.92
OUT_00026,POI_020564,apartments,354.52,500,0.4975,248.73
OUT_00026,POI_023018,school,257.69,1000,0.6915,691.48
OUT_00026,POI_025576,school,725.05,1000,0.0539,53.91
OUT_00026,POI_025577,school,643.04,1000,0.1005,100.54
OUT_00029,POI_000349,school,537.72,1000,0.2006,200.61
OUT_00029,POI_000350,school,544.18,1000,0.193,192.97
OUT_00029,POI_000351,place_of_worship,485.17,300,0.2704,81.13
OUT_00029,POI_003671,place_of_worship,969.5,300,0.0054,1.62
OUT_00029,POI_003678,bus_station,945.62,10000,0.007,69.59
OUT_00029,POI_005001,school,552.98,1000,0.1829,182.9
OUT_00029,POI_008426,clinic,776.95,200,0.035,6.99
OUT_00029,POI_009870,place_of_worship,877.83,300,0.0138,4.15
OUT_00029,POI_012397,hospital,861.05,5000,0.0163,81.31
OUT_00029,POI_013963,bus_stop,841.04,150,0.0196,2.95
OUT_00029,POI_013964,bus_stop,974.42,150,0.0051,0.77
OUT_00029,POI_014667,school,675.82,1000,0.0791,79.07
OUT_00029,POI_014668,hospital,683.16,5000,0.0748,374.05
OUT_00029,POI_015952,school,933.6,1000,0.0079,7.89
OUT_00029,POI_015966,industrial,227.8,1000,0.7495,749.54
OUT_00029,POI_016879,industrial,885.89,1000,0.0128,12.78
OUT_00029,POI_017804,industrial,843.26,1000,0.0192,19.25
OUT_00029,POI_018257,apartments,761.77,500,0.0398,19.9
OUT_00029,POI_018293,apartments,776.87,500,0.035,17.49
OUT_00029,POI_018294,apartments,769.37,500,0.0373,18.65
OUT_00029,POI_018295,apartments,754.88,500,0.0422,21.09
OUT_00029,POI_024833,industrial,514.08,1000,0.2303,230.33
OUT_00031,POI_017864,place_of_worship,374.8,300,0.4582,137.47
OUT_00032,POI_000145,bus_stop,930.35,150,0.0082,1.22
OUT_00032,POI_000229,bus_stop,971.71,150,0.0053,0.79
OUT_00032,POI_002145,bus_station,401.84,10000,0.4078,4077.62
OUT_00032,POI_005883,bus_stop,947.03,150,0.0069,1.03
OUT_00032,POI_013974,bus_stop,953.82,150,0.0064,0.96
OUT_00032,POI_015866,bus_stop,596.62,150,0.1384,20.76
OUT_00032,POI_016604,school,557.14,1000,0.1783,178.27
OUT_00032,POI_016743,place_of_worship,536.62,300,0.2019,60.58
OUT_00032,POI_017417,clinic,656.12,200,0.0915,18.3
OUT_00032,POI_017418,school,390.99,1000,0.4277,427.71
OUT_00032,POI_017491,clinic,333.86,200,0.5383,107.67
OUT_00032,POI_017656,marketplace,377.19,3000,0.4537,1360.99
OUT_00032,POI_017966,school,419.76,1000,0.3757,375.72
OUT_00032,POI_018004,place_of_worship,832.42,300,0.0213,6.39
OUT_00032,POI_018005,place_of_worship,561.41,300,0.1736,52.08
OUT_00032,POI_024939,bus_station,354.91,10000,0.4967,4966.92
OUT_00033,POI_010241,place_of_worship,969.52,300,0.0054,1.62
OUT_00034,POI_002170,school,833.84,1000,0.021,21.01
OUT_00034,POI_010995,place_of_worship,428.81,300,0.36,108.01
OUT_00034,POI_015883,place_of_worship,514.42,300,0.2299,68.97
OUT_00039,POI_002862,station,39.22,25000,0.9915,24787.32
OUT_00039,POI_008994,place_of_worship,562.78,300,0.1721,51.64
OUT_00039,POI_020702,marketplace,291.39,3000,0.6239,1871.79
OUT_00039,POI_020778,industrial,960.87,1000,0.0059,5.92
OUT_00039,POI_022155,school,697.74,1000,0.0669,66.89
OUT_00040,POI_000151,bus_stop,933.57,150,0.0079,1.18
OUT_00040,POI_000290,school,828.52,1000,0.0221,22.07
OUT_00040,POI_000291,place_of_worship,800.68,300,0.0284,8.52
OUT_00040,POI_000442,station,918.79,25000,0.0092,229.71
OUT_00040,POI_000689,bus_stop,871.69,150,0.0147,2.2
OUT_00040,POI_000690,bus_stop,906.38,150,0.0104,1.56
OUT_00040,POI_000857,place_of_worship,857.14,300,0.0169,5.06
OUT_00040,POI_000858,school,873.92,1000,0.0144,14.36
OUT_00040,POI_000860,place_of_worship,859.8,300,0.0165,4.94
OUT_00040,POI_000936,school,689.27,1000,0.0714,71.41
OUT_00040,POI_001684,bus_station,878.63,10000,0.0137,137.21
OUT_00040,POI_001698,school,981.74,1000,0.0047,4.73
OUT_00040,POI_001775,place_of_worship,176.32,300,0.8414,252.41
OUT_00040,POI_002123,place_of_worship,936.08,300,0.0077,2.31
OUT_00040,POI_002126,place_of_worship,708.43,300,0.0615,18.46
OUT_00040,POI_002229,bus_stop,893.93,150,0.0118,1.77
OUT_00040,POI_002304,guest_house,701.54,50,0.0649,3.25
OUT_00040,POI_002864,station,575.8,25000,0.1585,3962.85
OUT_00040,POI_003207,place_of_worship,347.89,300,0.5105,153.15
OUT_00040,POI_004976,school,797.1,1000,0.0293,29.31
OUT_00040,POI_004996,school,941.63,1000,0.0073,7.26
OUT_00040,POI_007738,guest_house,816.83,50,0.0246,1.23
OUT_00040,POI_010949,bus_stop,890.82,150,0.0122,1.83
OUT_00040,POI_011189,place_of_worship,756.68,300,0.0415,12.46
OUT_00040,POI_012671,clinic,816.23,200,0.0247,4.94
OUT_00040,POI_014398,school,769.8,1000,0.0372,37.17
OUT_00040,POI_014873,place_of_worship,929.28,300,0.0082,2.47
OUT_00040,POI_014941,bus_stop,763.72,150,0.0391,5.87
OUT_00040,POI_014942,bus_stop,776.54,150,0.0351,5.26
OUT_00040,POI_020500,apartments,952.04,500,0.0065,3.25
OUT_00040,POI_020504,apartments,884.65,500,0.0129,6.47
OUT_00040,POI_021994,industrial,611.74,1000,0.1251,125.05
OUT_00040,POI_021995,apartments,441.6,500,0.3384,169.22
OUT_00040,POI_021996,apartments,460.35,500,0.3081,154.05
OUT_00040,POI_021997,industrial,654.73,1000,0.0924,92.41
OUT_00040,POI_025628,place_of_worship,807.1,300,0.0268,8.04
OUT_00042,POI_004433,place_of_worship,457.93,300,0.3119,93.58
OUT_00042,POI_011171,place_of_worship,825.72,300,0.0226,6.79
OUT_00042,POI_014995,place_of_worship,467.55,300,0.2969,89.06
OUT_00042,POI_023962,industrial,891.36,1000,0.0121,12.11
OUT_00043,POI_008752,place_of_worship,688.78,300,0.0717,21.5
OUT_00043,POI_008847,place_of_worship,677,300,0.0784,23.51
OUT_00043,POI_009143,place_of_worship,780.59,300,0.0339,10.16
OUT_00043,POI_015848,place_of_worship,985.93,300,0.0045,1.35
OUT_00043,POI_018290,place_of_worship,803.54,300,0.0277,8.3
OUT_00043,POI_023674,industrial,599.26,1000,0.136,136
OUT_00043,POI_023675,industrial,534.72,1000,0.2042,204.23
OUT_00043,POI_023676,industrial,633.84,1000,0.1073,107.31
OUT_00043,POI_023679,industrial,498.64,1000,0.2512,251.24
OUT_00043,POI_023921,industrial,810.08,1000,0.0261,26.1
OUT_00043,POI_023922,industrial,633.41,1000,0.1076,107.64
OUT_00043,POI_023923,industrial,73.77,1000,0.9702,970.22
OUT_00044,POI_000317,school,954.63,1000,0.0063,6.33
OUT_00044,POI_000318,school,769.6,1000,0.0372,37.24
OUT_00044,POI_000319,school,865.96,1000,0.0155,15.51
OUT_00044,POI_000321,place_of_worship,804.31,300,0.0275,8.25
OUT_00044,POI_000322,school,571.83,1000,0.1626,162.57
OUT_00044,POI_000323,school,626.54,1000,0.1129,112.94
OUT_00044,POI_000324,place_of_worship,664.79,300,0.0858,25.75
OUT_00044,POI_000325,place_of_worship,544.15,300,0.193,57.9
OUT_00044,POI_000326,place_of_worship,641.58,300,0.1016,30.48
OUT_00044,POI_000327,place_of_worship,931.21,300,0.0081,2.43
OUT_00044,POI_004953,school,883.5,1000,0.0131,13.08
OUT_00044,POI_004979,school,509.98,1000,0.2358,235.78
OUT_00044,POI_004990,school,627.26,1000,0.1124,112.38
OUT_00044,POI_005000,school,841.78,1000,0.0195,19.51
OUT_00044,POI_005004,school,850.15,1000,0.018,18.04
OUT_00044,POI_007298,hotel,770.45,100,0.037,3.7
OUT_00044,POI_007730,bus_stop,533.71,150,0.2055,30.82
OUT_00044,POI_008514,hotel,671.84,100,0.0815,8.15
OUT_00044,POI_008858,bus_stop,907.55,150,0.0103,1.54
OUT_00044,POI_008924,place_of_worship,610.79,300,0.1259,37.76
OUT_00044,POI_008925,place_of_worship,851.84,300,0.0178,5.33
OUT_00044,POI_010001,place_of_worship,489.35,300,0.2644,79.32
OUT_00044,POI_010002,place_of_worship,524.56,300,0.2168,65.04
OUT_00044,POI_010003,place_of_worship,508.79,300,0.2374,71.21
OUT_00044,POI_010501,bus_stop,792.83,150,0.0304,4.57
OUT_00044,POI_010691,bus_stop,316.59,150,0.573,85.95
OUT_00044,POI_010692,bus_stop,856.92,150,0.0169,2.54
OUT_00044,POI_010694,bus_stop,347.45,150,0.5114,76.71
OUT_00044,POI_010746,clinic,912.36,200,0.0098,1.96
OUT_00044,POI_014002,place_of_worship,343,300,0.5202,156.05
OUT_00044,POI_014003,place_of_worship,429.59,300,0.3587,107.61
OUT_00044,POI_014004,place_of_worship,567.37,300,0.1672,50.17
OUT_00044,POI_014431,place_of_worship,928.71,300,0.0083,2.49
OUT_00044,POI_016154,industrial,762.42,1000,0.0396,39.58
OUT_00044,POI_017156,industrial,683.34,1000,0.0747,74.71
OUT_00044,POI_019849,place_of_worship,275.82,300,0.6553,196.59
OUT_00044,POI_022596,place_of_worship,928.26,300,0.0083,2.5
OUT_00044,POI_022655,marketplace,913.72,3000,0.0097,29.02
OUT_00044,POI_022657,marketplace,835.41,3000,0.0207,62.12
OUT_00044,POI_025515,apartments,561.95,500,0.173,86.5
OUT_00044,POI_025516,apartments,766.22,500,0.0383,19.16
OUT_00044,POI_025517,apartments,709.54,500,0.061,30.5
OUT_00044,POI_025518,apartments,733.04,500,0.0505,25.26
OUT_00044,POI_025519,apartments,799.61,500,0.0287,14.33
OUT_00045,POI_001295,school,223.9,1000,0.7569,756.91
OUT_00045,POI_001778,place_of_worship,372.21,300,0.4632,138.95
OUT_00045,POI_001779,place_of_worship,657.73,300,0.0904,27.12
OUT_00045,POI_001780,school,337.38,1000,0.5313,531.34
OUT_00045,POI_001781,place_of_worship,408.89,300,0.395,118.5
OUT_00045,POI_001782,place_of_worship,768.12,300,0.0377,11.31
OUT_00045,POI_001783,school,724.54,1000,0.0541,54.13
OUT_00045,POI_003799,bus_stop,278.44,150,0.65,97.51
OUT_00045,POI_003800,bus_stop,389.89,150,0.4298,64.46
OUT_00045,POI_003801,bus_stop,830.33,150,0.0217,3.26
OUT_00045,POI_004752,place_of_worship,856.59,300,0.017,5.09
OUT_00045,POI_016057,industrial,976.02,1000,0.005,5.03
OUT_00045,POI_023759,industrial,931.27,1000,0.0081,8.08
OUT_00045,POI_023760,industrial,787.22,1000,0.032,31.97
OUT_00047,POI_005175,school,802.79,1000,0.0279,27.86
OUT_00047,POI_021584,place_of_worship,141.02,300,0.8954,268.62
OUT_00047,POI_021585,industrial,928.48,1000,0.0083,8.32
OUT_00048,POI_001090,place_of_worship,208.72,300,0.785,235.51
OUT_00048,POI_001094,bus_station,555.02,10000,0.1806,1806.22
OUT_00048,POI_001096,place_of_worship,618.06,300,0.1198,35.93
OUT_00048,POI_002308,place_of_worship,981.63,300,0.0047,1.42
OUT_00048,POI_007470,school,259.38,1000,0.6881,688.14
OUT_00048,POI_016079,bus_station,385.07,10000,0.4388,4387.72
OUT_00048,POI_016495,clinic,400.06,200,0.411,82.2
OUT_00049,POI_011130,school,955.44,1000,0.0063,6.27
OUT_00049,POI_013484,station,683.71,25000,0.0745,1862.37
OUT_00049,POI_017472,school,759.93,1000,0.0404,40.43
OUT_00049,POI_023605,industrial,829.54,1000,0.0219,21.86
OUT_00050,POI_003768,bus_stop,797.57,150,0.0292,4.38
OUT_00050,POI_003770,place_of_worship,623.34,300,0.1155,34.65
OUT_00050,POI_003796,bus_stop,623.69,150,0.1152,17.28
OUT_00051,POI_002200,place_of_worship,317.65,300,0.5709,171.26
OUT_00051,POI_022064,school,492.92,1000,0.2593,259.28
OUT_00052,POI_016578,place_of_worship,353.99,300,0.4985,149.55
OUT_00052,POI_017022,place_of_worship,399.47,300,0.4121,123.63
OUT_00052,POI_017287,place_of_worship,973.14,300,0.0052,1.56
OUT_00052,POI_017328,clinic,767.62,200,0.0379,7.57
OUT_00052,POI_017411,clinic,877.62,200,0.0139,2.77
OUT_00052,POI_017412,place_of_worship,685.64,300,0.0734,22.02
OUT_00052,POI_017470,clinic,795.4,200,0.0298,5.95
